ID_Transaccion,Fecha_Hora,Monto_CLP,Medio_Pago,Pasarela_Origen,Pais_IP,Dispositivo,Score_Riesgo_Engine,Intentos_Fallidos_Previos,Es_Fraude
TXN-2026-00129,2026-04-30 22:22:00,75000.0,Tarjeta Debito,Getnet,Chile,Web Mobile,0.22,0,0
TXN-2026-00130,2026-08-12 20:37:00,9600.0,Tarjeta Credito,Getnet,EE.UU.,Web Desktop,0.3,0,0
TXN-2026-00131,2026-06-23 23:24:00,47900.0,Prepago Digital,Kushki,Chile,Web Mobile,0.03,0,0
TXN-2026-00132,2026-08-10 08:40:00,12600.0,Prepago Digital,Mercado Pago,Chile,Web Desktop,0.34,0,0
TXN-2026-00133,2026-03-07 08:33:00,1600.0,Tarjeta Credito,Getnet,Chile,Mobile App Android,0.02,0,0
TXN-2026-00134,2026-06-29 14:50:00,57600.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.07,0,0
TXN-2026-00135,2026-05-22 21:09:00,35300.0,Tarjeta Credito,Getnet,Chile,Mobile App iOS,0.26,0,0
TXN-2026-00136,2026-04-11 08:09:00,10600.0,Tarjeta Credito,Kushki,Chile,Mobile App iOS,0.1,0,0
TXN-2026-00137,2026-02-06 14:58:00,11500.0,Tarjeta Credito,Kushki,Chile,Web Desktop,0.41,0,0
TXN-2026-00138,2026-04-04 22:11:00,22000.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.12,1,0
TXN-2026-00139,2026-06-25 18:18:00,6500.0,Prepago Digital,Kushki,Chile,Web Mobile,0.02,0,0
TXN-2026-00140,2026-01-30 03:09:00,36700.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App Android,0.66,4,1
TXN-2026-00141,2026-05-27 23:46:00,12900.0,Tarjeta Credito,Mercado Pago,Argentina,Mobile App Android,0.04,0,0
TXN-2026-00142,2026-01-05 12:28:00,62800.0,Tarjeta Credito,Getnet,Chile,Web Mobile,0.03,0,0
TXN-2026-00143,2026-04-12 05:24:00,16600.0,Tarjeta Credito,Mercado Pago,Chile,Web Desktop,0.1,0,0
TXN-2026-00144,2026-05-23 23:59:00,21800.0,Tarjeta Debito,Webpay Plus,Chile,Web Desktop,0.14,0,0
TXN-2026-00145,2026-05-10 14:01:00,36400.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.06,0,0
TXN-2026-00146,2026-01-15 18:23:00,25500.0,Tarjeta Credito,Mercado Pago,Chile,Web Desktop,0.17,0,0
TXN-2026-00147,2026-04-05 07:05:00,6000.0,Tarjeta Debito,Mercado Pago,Chile,Web Mobile,0.06,0,0
TXN-2026-00148,2026-08-04 18:01:00,9100.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.18,0,0
TXN-2026-00149,2026-02-01 02:38:00,11900.0,Tarjeta Debito,Webpay Plus,Chile,Web Mobile,0.26,0,0
TXN-2026-00150,2026-04-25 07:57:00,3200.0,Tarjeta Debito,Mercado Pago,EE.UU.,Web Mobile,0.22,0,0
TXN-2026-00151,2026-03-13 18:32:00,55100.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App iOS,0.4,1,0
TXN-2026-00152,2026-02-25 21:43:00,8600.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.25,1,0
TXN-2026-00153,2026-04-01 17:44:00,102800.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App Android,0.42,0,0
TXN-2026-00154,2026-05-22 18:16:00,3000.0,Tarjeta Credito,Webpay Plus,Chile,Web Desktop,0.18,0,0
TXN-2026-00155,2026-02-05 09:55:00,13000.0,Tarjeta Credito,Webpay Plus,Argentina,Web Mobile,0.34,1,0
TXN-2026-00156,2026-02-12 19:30:00,9100.0,Tarjeta Debito,Mercado Pago,Colombia,Mobile App Android,0.25,0,0
TXN-2026-00157,2026-07-10 21:29:00,19000.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.44,0,0
TXN-2026-00158,2026-05-16 00:16:00,51600.0,Tarjeta Credito,Mercado Pago,EE.UU.,Web Mobile,0.13,0,0
TXN-2026-00159,2026-08-01 03:12:00,34500.0,Tarjeta Credito,Kushki,Colombia,Web Desktop,0.2,0,0
TXN-2026-00160,2026-03-11 14:27:00,35300.0,Tarjeta Credito,Kushki,Chile,Web Desktop,0.4,0,0
TXN-2026-00161,2026-03-15 04:04:00,9200.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App iOS,0.33,1,0
TXN-2026-00162,2026-04-10 16:13:00,2700.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.07,0,0
TXN-2026-00163,2026-01-18 04:42:00,37800.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.37,1,0
TXN-2026-00164,2026-04-20 00:58:00,20900.0,Tarjeta Credito,Webpay Plus,Chile,Web Desktop,0.07,0,0
TXN-2026-00165,2026-01-23 04:39:00,23300.0,Tarjeta Debito,Getnet,Chile,Web Desktop,0.39,0,0
TXN-2026-00166,2026-05-08 06:11:00,44800.0,Tarjeta Debito,Webpay Plus,Chile,Mobile App iOS,0.35,0,0
TXN-2026-00167,2026-07-06 03:27:00,42500.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.31,0,0
TXN-2026-00168,2026-02-09 07:56:00,162600.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.06,1,0
TXN-2026-00169,2026-04-21 18:52:00,21400.0,Prepago Digital,Kushki,Chile,Web Mobile,0.44,1,0
TXN-2026-00170,2026-01-21 07:26:00,3600.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.21,0,0
TXN-2026-00171,2026-08-01 08:29:00,5700.0,Tarjeta Credito,Mercado Pago,Chile,Web Mobile,0.45,0,0
TXN-2026-00172,2026-06-10 21:22:00,97100.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.4,0,0
TXN-2026-00173,2026-05-04 14:58:00,8600.0,Tarjeta Debito,Mercado Pago,Chile,Web Desktop,0.05,0,0
TXN-2026-00174,2026-01-11 16:06:00,12100.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.08,0,0
TXN-2026-00175,2026-03-07 09:34:00,7000.0,Tarjeta Credito,Webpay Plus,EE.UU.,Web Mobile,0.44,0,0
TXN-2026-00176,2026-02-03 08:04:00,21700.0,Tarjeta Credito,Mercado Pago,Chile,Mobile App iOS,0.12,0,0
TXN-2026-00177,2026-01-03 20:13:00,4500.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.08,1,0
TXN-2026-00178,2026-06-06 21:46:00,33900.0,Tarjeta Debito,Webpay Plus,Chile,Web Desktop,0.09,0,0
TXN-2026-00179,2026-06-24 03:50:00,71700.0,Tarjeta Credito,Getnet,Chile,Web Mobile,0.02,1,0
TXN-2026-00180,2026-02-27 12:53:00,9300.0,Transferencia Khipu,Mercado Pago,Chile,Mobile App Android,0.09,0,0
TXN-2026-00181,2026-04-11 18:22:00,8000.0,Tarjeta Debito,Getnet,Argentina,Mobile App iOS,0.26,0,0
TXN-2026-00182,2026-06-05 07:55:00,21800.0,Tarjeta Debito,Getnet,Perú,Mobile App iOS,0.2,0,0
TXN-2026-00183,2026-05-01 20:33:00,27000.0,Tarjeta Debito,Getnet,Chile,Mobile App Android,0.34,0,0
TXN-2026-00184,2026-03-04 19:17:00,20500.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.38,0,0
TXN-2026-00185,2026-06-22 17:46:00,5400.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.09,0,0
TXN-2026-00186,2026-07-13 08:42:00,16100.0,Tarjeta Debito,Webpay Plus,Colombia,Web Mobile,0.07,0,0
TXN-2026-00187,2026-06-24 04:21:00,11500.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App Android,0.04,0,0
TXN-2026-00188,2026-06-07 04:40:00,62800.0,Tarjeta Credito,Webpay Plus,Chile,Web Mobile,0.35,1,0
TXN-2026-00189,2026-05-07 15:29:00,44400.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.43,0,0
TXN-2026-00190,2026-08-14 00:46:00,1900.0,Tarjeta Debito,Webpay Plus,Chile,Web Desktop,0.27,0,0
TXN-2026-00191,2026-06-15 11:51:00,28700.0,Tarjeta Credito,Webpay Plus,Argentina,Web Desktop,0.32,1,0
TXN-2026-00192,2026-06-13 09:05:00,6700.0,Prepago Digital,Kushki,Chile,Mobile App Android,0.44,1,0
TXN-2026-00193,2026-02-09 06:05:00,99900.0,Tarjeta Debito,Kushki,Chile,Web Mobile,0.07,0,0
TXN-2026-00194,2026-02-19 02:30:00,222100.0,Tarjeta Credito,Kushki,Chile,Web Desktop,0.42,0,0
TXN-2026-00195,2026-07-09 18:26:00,3900.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.19,0,0
TXN-2026-00196,2026-02-02 22:21:00,8800.0,Tarjeta Debito,Mercado Pago,Chile,Mobile App iOS,0.39,0,0
TXN-2026-00197,2026-02-14 22:37:00,35100.0,Tarjeta Debito,Kushki,Chile,Web Desktop,0.42,0,0
TXN-2026-00198,2026-05-19 20:29:00,27800.0,Tarjeta Debito,Getnet,Chile,Mobile App iOS,0.14,0,0
TXN-2026-00199,2026-01-27 09:22:00,1900.0,Prepago Digital,Kushki,Chile,Mobile App iOS,0.37,0,0
TXN-2026-00200,2026-03-20 19:01:00,18100.0,Tarjeta Credito,Webpay Plus,Argentina,Mobile App Android,0.18,0,0
TXN-2026-00201,2026-04-04 15:11:00,11900.0,Tarjeta Debito,Kushki,Argentina,Web Desktop,0.14,0,0
TXN-2026-00202,2026-06-22 07:39:00,1100.0,Tarjeta Debito,Kushki,Argentina,Web Desktop,0.22,0,0
TXN-2026-00203,2026-01-06 20:10:00,9300.0,Prepago Digital,Mercado Pago,Chile,Web Mobile,0.04,0,0
TXN-2026-00204,2026-07-13 12:30:00,45500.0,Tarjeta Credito,Kushki,Chile,Web Mobile,0.27,0,0
TXN-2026-00205,2026-02-05 11:35:00,14800.0,Tarjeta Credito,Webpay Plus,Argentina,Web Mobile,0.42,0,0
TXN-2026-00206,2026-06-01 21:05:00,17000.0,Transferencia Khipu,Kushki,Perú,Mobile App Android,0.26,0,0
TXN-2026-00207,2026-01-15 06:01:00,10600.0,Prepago Digital,Mercado Pago,Chile,Mobile App iOS,0.12,0,0
TXN-2026-00208,2026-02-09 13:52:00,31100.0,Tarjeta Credito,Webpay Plus,Chile,Web Desktop,0.42,1,0
TXN-2026-00209,2026-01-02 16:39:00,12000.0,Tarjeta Credito,Webpay Plus,Chile,Mobile App Android,0.1,0,0
TXN-2026-00210,2026-05-28 14:38:00,15100.0,Tarjeta Debito,Mercado Pago,Colombia,Web Mobile,0.25,0,0
TXN-2026-00211,2026-06-29 02:03:00,4500.0,Tarjeta Credito,Kushki,Chile,Mobile App iOS,0.03,0,0
TXN-2026-00212,2026-01-18 20:21:00,7000.0,Tarjeta Debito,Mercado Pago,Chile,Web Mobile,0.39,0,0
TXN-2026-00213,2026-04-26 05:09:00,10400.0,Tarjeta Credito,Getnet,Chile,Web Desktop,0.21,0,0
TXN-2026-00214,2026-07-20 15:02:00,20200.0,Transferencia Khipu,Kushki,Chile,Web Mobile,0.15,0,0
