ID_Envio,Fecha_Despacho,Comuna_Destino,Distancia_KM,Tiempo_Prometido_Hrs,Tiempo_Real_Hrs,Estado_Entrega,Motivo_Falla,Tipo_Vehiculo,Costo_Envio_CLP
ENV-2026-00037,2026-08-15 21:00:00,San Bernardo,31.5,24.0,25.3,Entregado con Atraso,Tráfico/Congestión,Furgón Eléctrico,8000.0
ENV-2026-00038,2026-08-25 03:14:00,San Bernardo,11.5,24.0,18.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5000.0
ENV-2026-00039,2026-07-13 13:24:00,San Bernardo,22.5,24.0,24.2,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,6600.0
ENV-2026-00040,2026-08-09 18:06:00,Maipú,8.9,24.0,14.5,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4800.0
ENV-2026-00041,2026-08-05 09:41:00,Santiago,6.0,24.0,31.4,Fallido,Cliente Ausente,Furgón 1.5T,3700.0
ENV-2026-00042,2026-08-14 14:29:00,Las Condes,16.4,24.0,27.8,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,5400.0
ENV-2026-00043,2026-08-22 15:42:00,San Bernardo,22.2,24.0,19.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6700.0
ENV-2026-00044,2026-08-07 21:55:00,San Bernardo,6.8,24.0,11.1,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4100.0
ENV-2026-00045,2026-08-06 09:19:00,Quilicura,25.8,24.0,22.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6800.0
ENV-2026-00046,2026-07-11 21:56:00,Santiago,4.3,12.0,16.0,Fallido,Tráfico/Congestión,Furgón 1.5T,3600.0
ENV-2026-00047,2026-08-07 20:12:00,Puente Alto,13.6,24.0,24.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5400.0
ENV-2026-00048,2026-07-10 12:55:00,Las Condes,14.4,48.0,53.0,Entregado con Atraso,Tráfico/Congestión,Motocicleta,5300.0
ENV-2026-00049,2026-08-08 10:06:00,Santiago,16.1,12.0,19.2,Fallido,Tráfico/Congestión,Furgón 1.5T,5700.0
ENV-2026-00050,2026-07-15 22:06:00,Puente Alto,13.6,24.0,30.2,Entregado con Atraso,Tráfico/Congestión,Motocicleta,5000.0
ENV-2026-00051,2026-08-16 13:37:00,Maipú,18.4,24.0,18.4,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6200.0
ENV-2026-00052,2026-07-01 02:53:00,Quilicura,20.7,48.0,77.0,Fallido,Zona Inaccesible,Motocicleta,6300.0
ENV-2026-00053,2026-07-03 01:05:00,Santiago,6.5,24.0,18.7,Entregado a Tiempo,Sin Falla,Motocicleta,4200.0
ENV-2026-00054,2026-08-10 13:57:00,Quilicura,21.0,12.0,18.2,Fallido,Dirección Incorrecta,Furgón Eléctrico,6200.0
ENV-2026-00055,2026-08-15 07:31:00,Quilicura,20.0,24.0,35.4,Fallido,Dirección Incorrecta,Furgón 1.5T,6300.0
ENV-2026-00056,2026-07-04 20:02:00,Santiago,3.3,48.0,92.8,Fallido,Cliente Ausente,Motocicleta,3800.0
ENV-2026-00057,2026-07-03 07:57:00,San Bernardo,25.7,24.0,20.4,Entregado a Tiempo,Sin Falla,Motocicleta,7200.0
ENV-2026-00058,2026-07-09 11:03:00,Puente Alto,16.2,24.0,23.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5500.0
ENV-2026-00059,2026-08-01 09:13:00,Quilicura,10.7,48.0,33.8,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4900.0
ENV-2026-00060,2026-07-18 05:44:00,Puente Alto,23.5,24.0,69.2,Fallido,Cliente Ausente,Furgón Eléctrico,6500.0
ENV-2026-00061,2026-07-14 02:06:00,Las Condes,15.0,24.0,18.7,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,5700.0
ENV-2026-00062,2026-08-25 05:51:00,La Florida,21.7,24.0,9.4,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,6200.0
ENV-2026-00063,2026-07-18 09:43:00,Las Condes,16.9,48.0,97.4,Fallido,Dirección Incorrecta,Furgón 1.5T,5600.0
ENV-2026-00064,2026-08-16 23:15:00,La Florida,13.7,24.0,17.7,Entregado a Tiempo,Sin Falla,Motocicleta,5200.0
ENV-2026-00065,2026-08-07 20:10:00,La Florida,26.1,24.0,25.5,Entregado con Atraso,Tráfico/Congestión,Furgón Eléctrico,7200.0
ENV-2026-00066,2026-08-16 16:04:00,Puente Alto,7.6,24.0,10.3,Entregado a Tiempo,Sin Falla,Motocicleta,4500.0
ENV-2026-00067,2026-07-16 07:28:00,Maipú,3.5,24.0,14.4,Entregado a Tiempo,Sin Falla,Motocicleta,3400.0
ENV-2026-00068,2026-07-12 19:13:00,Puente Alto,9.8,24.0,21.1,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4500.0
ENV-2026-00069,2026-08-17 02:22:00,Las Condes,18.8,12.0,9.0,Entregado a Tiempo,Sin Falla,Motocicleta,6000.0
ENV-2026-00070,2026-07-22 22:18:00,Las Condes,33.1,24.0,28.9,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,8000.0
ENV-2026-00071,2026-07-17 21:41:00,Quilicura,23.9,12.0,18.1,Fallido,Tráfico/Congestión,Motocicleta,6600.0
ENV-2026-00072,2026-08-09 08:37:00,Las Condes,6.5,12.0,17.0,Fallido,Dirección Incorrecta,Furgón 1.5T,4000.0
ENV-2026-00073,2026-07-21 22:08:00,Maipú,33.3,24.0,11.3,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,7900.0
ENV-2026-00074,2026-08-18 17:56:00,Pudahuel,27.8,24.0,13.1,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7200.0
ENV-2026-00075,2026-08-13 11:54:00,San Bernardo,5.6,24.0,26.7,Entregado con Atraso,Tráfico/Congestión,Motocicleta,4000.0
ENV-2026-00076,2026-08-09 01:12:00,Pudahuel,27.2,24.0,18.1,Entregado a Tiempo,Sin Falla,Camión 3.5T,7400.0
ENV-2026-00077,2026-08-05 23:44:00,Santiago,29.0,48.0,25.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7200.0
ENV-2026-00078,2026-07-16 18:15:00,La Florida,16.4,12.0,8.4,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,5800.0
ENV-2026-00079,2026-07-13 08:29:00,Quilicura,13.5,24.0,34.1,Fallido,Tráfico/Congestión,Furgón 1.5T,5400.0
ENV-2026-00080,2026-08-21 14:23:00,Las Condes,17.1,48.0,46.3,Entregado a Tiempo,Sin Falla,Motocicleta,5500.0
ENV-2026-00081,2026-08-28 02:06:00,Santiago,16.9,12.0,10.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6000.0
ENV-2026-00082,2026-07-11 15:35:00,Santiago,28.4,24.0,16.0,Entregado a Tiempo,Sin Falla,Motocicleta,7200.0
ENV-2026-00083,2026-07-22 16:33:00,Pudahuel,27.5,48.0,80.5,Fallido,Cliente Ausente,Furgón 1.5T,7200.0
ENV-2026-00084,2026-08-29 07:50:00,Santiago,9.6,24.0,32.3,Fallido,Cliente Ausente,Furgón Eléctrico,4400.0
ENV-2026-00085,2026-08-20 16:13:00,San Bernardo,8.1,12.0,11.0,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,4100.0
ENV-2026-00086,2026-07-31 04:27:00,San Bernardo,34.4,24.0,29.1,Entregado con Atraso,Cliente Ausente,Motocicleta,8500.0
ENV-2026-00087,2026-08-16 10:48:00,Pudahuel,26.3,12.0,8.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6900.0
ENV-2026-00088,2026-08-11 14:30:00,Maipú,31.7,48.0,39.9,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8100.0
ENV-2026-00089,2026-08-29 14:51:00,Quilicura,13.2,24.0,40.9,Fallido,Dirección Incorrecta,Furgón 1.5T,5100.0
ENV-2026-00090,2026-08-21 13:14:00,Santiago,10.6,24.0,16.3,Entregado a Tiempo,Sin Falla,Motocicleta,4600.0
ENV-2026-00091,2026-07-17 19:34:00,Pudahuel,5.6,48.0,47.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,3700.0
ENV-2026-00092,2026-08-27 03:35:00,La Florida,28.4,24.0,40.4,Fallido,Cliente Ausente,Furgón 1.5T,7500.0
ENV-2026-00093,2026-07-07 11:07:00,San Bernardo,34.8,12.0,8.3,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8500.0
ENV-2026-00094,2026-08-05 22:28:00,La Florida,26.6,24.0,37.0,Fallido,Dirección Incorrecta,Furgón 1.5T,7200.0
ENV-2026-00095,2026-07-29 16:55:00,Pudahuel,7.1,12.0,13.7,Entregado con Atraso,Cliente Ausente,Furgón 1.5T,4000.0
ENV-2026-00096,2026-07-08 02:41:00,Santiago,17.1,24.0,46.1,Fallido,Cliente Ausente,Furgón Eléctrico,5900.0
ENV-2026-00097,2026-08-22 15:22:00,Quilicura,30.7,12.0,9.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7600.0
ENV-2026-00098,2026-08-15 19:30:00,San Bernardo,31.5,24.0,27.8,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,7900.0
ENV-2026-00099,2026-07-07 01:13:00,Puente Alto,31.1,48.0,73.4,Fallido,Tráfico/Congestión,Camión 3.5T,8000.0
ENV-2026-00100,2026-08-11 17:57:00,Puente Alto,16.7,24.0,28.9,Entregado con Atraso,Cliente Ausente,Furgón 1.5T,5600.0
ENV-2026-00101,2026-08-17 17:07:00,Pudahuel,34.5,48.0,34.8,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8300.0
ENV-2026-00102,2026-08-22 07:14:00,Pudahuel,11.1,24.0,23.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4700.0
ENV-2026-00103,2026-08-06 10:05:00,Puente Alto,29.0,24.0,27.0,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,7300.0
ENV-2026-00104,2026-07-18 08:16:00,San Bernardo,19.1,24.0,17.4,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5700.0
ENV-2026-00105,2026-07-23 05:05:00,Maipú,20.2,24.0,22.7,Entregado a Tiempo,Sin Falla,Motocicleta,6000.0
ENV-2026-00106,2026-07-07 20:50:00,Santiago,13.6,24.0,24.8,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,5100.0
ENV-2026-00107,2026-08-09 07:35:00,Maipú,34.9,24.0,26.0,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,8100.0
ENV-2026-00108,2026-08-13 17:21:00,Maipú,9.5,24.0,16.0,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,4300.0
ENV-2026-00109,2026-08-11 16:33:00,Pudahuel,34.1,12.0,14.0,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,8300.0
ENV-2026-00110,2026-07-29 20:35:00,Las Condes,31.7,24.0,48.4,Fallido,Dirección Incorrecta,Furgón Eléctrico,7800.0
ENV-2026-00111,2026-08-17 17:04:00,Maipú,20.2,48.0,56.7,Entregado con Atraso,Tráfico/Congestión,Motocicleta,6300.0
ENV-2026-00112,2026-07-03 12:59:00,La Florida,4.9,24.0,15.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4100.0
ENV-2026-00113,2026-08-10 06:05:00,Las Condes,10.9,48.0,31.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5100.0
ENV-2026-00114,2026-08-02 14:49:00,Las Condes,28.8,12.0,23.5,Fallido,Dirección Incorrecta,Furgón Eléctrico,7200.0
ENV-2026-00115,2026-07-24 04:07:00,Puente Alto,10.0,24.0,26.1,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,4600.0
ENV-2026-00116,2026-07-21 19:13:00,Las Condes,29.1,48.0,38.6,Entregado a Tiempo,Sin Falla,Motocicleta,7600.0
ENV-2026-00117,2026-07-11 11:43:00,La Florida,27.3,24.0,17.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7200.0
ENV-2026-00118,2026-07-08 15:40:00,Pudahuel,16.9,24.0,33.8,Fallido,Tráfico/Congestión,Furgón 1.5T,5400.0
ENV-2026-00119,2026-07-24 20:27:00,Las Condes,10.6,24.0,13.3,Entregado a Tiempo,Sin Falla,Furgón 1.5T,5000.0
ENV-2026-00120,2026-08-06 17:41:00,Quilicura,15.2,12.0,19.4,Fallido,Tráfico/Congestión,Furgón 1.5T,5400.0
ENV-2026-00121,2026-07-27 08:43:00,Quilicura,5.1,24.0,18.2,Entregado a Tiempo,Sin Falla,Motocicleta,4200.0
ENV-2026-00122,2026-07-07 23:29:00,San Bernardo,12.8,12.0,9.2,Entregado a Tiempo,Sin Falla,Motocicleta,5300.0
ENV-2026-00123,2026-07-31 15:24:00,Santiago,33.3,24.0,18.8,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8100.0
ENV-2026-00124,2026-07-07 16:46:00,Las Condes,33.9,24.0,12.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8500.0
ENV-2026-00125,2026-07-28 18:12:00,Santiago,29.1,24.0,23.2,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,7700.0
ENV-2026-00126,2026-08-15 00:38:00,Puente Alto,24.2,12.0,7.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6600.0
ENV-2026-00127,2026-08-23 10:01:00,Las Condes,23.2,12.0,8.8,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,6400.0
ENV-2026-00128,2026-07-17 04:10:00,La Florida,5.6,24.0,14.2,Entregado a Tiempo,Sin Falla,Motocicleta,3900.0
ENV-2026-00129,2026-08-23 00:33:00,Pudahuel,3.2,24.0,49.8,Fallido,Zona Inaccesible,Furgón 1.5T,3700.0
ENV-2026-00130,2026-07-06 10:30:00,Pudahuel,34.6,24.0,18.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8700.0
ENV-2026-00131,2026-07-09 16:05:00,Las Condes,23.2,24.0,38.7,Fallido,Dirección Incorrecta,Motocicleta,6400.0
ENV-2026-00132,2026-08-11 19:39:00,Las Condes,18.9,24.0,47.5,Fallido,Dirección Incorrecta,Furgón 1.5T,5700.0
ENV-2026-00133,2026-07-13 15:36:00,San Bernardo,19.4,24.0,21.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6100.0
ENV-2026-00134,2026-08-20 08:52:00,Santiago,11.9,24.0,16.9,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,5000.0
ENV-2026-00135,2026-07-23 18:25:00,Puente Alto,34.0,24.0,24.0,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8000.0
ENV-2026-00136,2026-07-11 23:09:00,La Florida,23.4,12.0,7.3,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6400.0
ENV-2026-00137,2026-08-05 20:38:00,Maipú,9.7,24.0,32.3,Fallido,Tráfico/Congestión,Furgón 1.5T,4300.0
ENV-2026-00138,2026-08-03 14:33:00,Puente Alto,33.5,48.0,50.6,Entregado con Atraso,Tráfico/Congestión,Motocicleta,8400.0
ENV-2026-00139,2026-07-03 08:49:00,Puente Alto,27.1,24.0,17.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7400.0
ENV-2026-00140,2026-08-13 03:16:00,Pudahuel,30.5,24.0,23.4,Entregado a Tiempo,Sin Falla,Motocicleta,7600.0
ENV-2026-00141,2026-08-05 18:43:00,Quilicura,17.5,24.0,28.6,Entregado con Atraso,Tráfico/Congestión,Camión 3.5T,6100.0
ENV-2026-00142,2026-08-01 17:37:00,Puente Alto,6.2,24.0,21.6,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,4200.0
ENV-2026-00143,2026-07-27 16:56:00,Maipú,26.5,12.0,15.2,Entregado con Atraso,Tráfico/Congestión,Furgón Eléctrico,7500.0
ENV-2026-00144,2026-07-29 18:19:00,Pudahuel,25.7,12.0,14.2,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,7000.0
ENV-2026-00145,2026-07-19 18:00:00,Puente Alto,11.4,12.0,15.5,Entregado con Atraso,Tráfico/Congestión,Motocicleta,4800.0
ENV-2026-00146,2026-07-06 12:47:00,Las Condes,11.5,24.0,22.0,Entregado a Tiempo,Sin Falla,Motocicleta,4900.0
ENV-2026-00147,2026-07-08 22:06:00,Quilicura,30.6,48.0,53.1,Entregado con Atraso,Cliente Ausente,Motocicleta,8000.0
ENV-2026-00148,2026-07-20 00:54:00,Maipú,30.0,24.0,20.7,Entregado a Tiempo,Sin Falla,Motocicleta,7600.0
ENV-2026-00149,2026-07-10 15:53:00,La Florida,15.2,24.0,24.7,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,5200.0
ENV-2026-00150,2026-08-17 22:41:00,Maipú,11.1,48.0,62.7,Fallido,Dirección Incorrecta,Furgón 1.5T,4700.0
ENV-2026-00151,2026-08-11 21:12:00,Maipú,5.4,24.0,29.3,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,4000.0
ENV-2026-00152,2026-08-08 08:09:00,Quilicura,33.6,12.0,15.4,Entregado con Atraso,Tráfico/Congestión,Camión 3.5T,8000.0
ENV-2026-00153,2026-08-02 03:14:00,Maipú,28.1,48.0,91.3,Fallido,Cliente Ausente,Motocicleta,7400.0
ENV-2026-00154,2026-07-04 22:03:00,La Florida,31.4,12.0,9.6,Entregado a Tiempo,Sin Falla,Motocicleta,7900.0
ENV-2026-00155,2026-08-23 13:40:00,Puente Alto,27.3,24.0,14.5,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7500.0
ENV-2026-00156,2026-07-10 10:48:00,Quilicura,5.1,24.0,19.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,3600.0
ENV-2026-00157,2026-07-03 03:54:00,Santiago,17.9,24.0,22.1,Entregado a Tiempo,Sin Falla,Motocicleta,5600.0
ENV-2026-00158,2026-07-22 14:18:00,Puente Alto,32.1,24.0,56.7,Fallido,Dirección Incorrecta,Motocicleta,7700.0
ENV-2026-00159,2026-08-11 01:20:00,Pudahuel,29.5,12.0,8.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,7300.0
ENV-2026-00160,2026-07-30 15:47:00,Puente Alto,7.3,48.0,41.8,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4500.0
ENV-2026-00161,2026-08-09 01:40:00,Pudahuel,7.2,24.0,23.7,Entregado a Tiempo,Sin Falla,Motocicleta,4000.0
ENV-2026-00162,2026-07-21 20:35:00,Maipú,30.0,24.0,27.3,Entregado con Atraso,Tráfico/Congestión,Motocicleta,7900.0
ENV-2026-00163,2026-07-08 09:07:00,La Florida,5.8,12.0,12.2,Entregado con Atraso,Tráfico/Congestión,Motocicleta,4200.0
ENV-2026-00164,2026-07-07 00:38:00,Maipú,23.9,24.0,26.7,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,6700.0
ENV-2026-00165,2026-07-07 23:51:00,Quilicura,13.7,48.0,138.7,Fallido,Dirección Incorrecta,Motocicleta,5300.0
ENV-2026-00166,2026-08-05 13:55:00,San Bernardo,5.3,24.0,16.1,Entregado a Tiempo,Sin Falla,Motocicleta,4000.0
ENV-2026-00167,2026-08-20 20:44:00,San Bernardo,24.7,24.0,21.6,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6800.0
ENV-2026-00168,2026-07-24 02:24:00,Quilicura,29.9,24.0,18.7,Entregado a Tiempo,Sin Falla,Motocicleta,7700.0
ENV-2026-00169,2026-07-13 12:30:00,La Florida,9.9,24.0,17.5,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4400.0
ENV-2026-00170,2026-07-08 09:04:00,Quilicura,23.0,48.0,47.3,Entregado a Tiempo,Sin Falla,Motocicleta,6400.0
ENV-2026-00171,2026-07-11 23:33:00,Quilicura,12.3,48.0,17.0,Entregado a Tiempo,Sin Falla,Camión 3.5T,5000.0
ENV-2026-00172,2026-07-17 00:05:00,Maipú,27.9,24.0,24.5,Entregado con Atraso,Tráfico/Congestión,Furgón 1.5T,7400.0
ENV-2026-00173,2026-07-12 20:10:00,Maipú,32.6,24.0,34.7,Fallido,Zona Inaccesible,Motocicleta,8000.0
ENV-2026-00174,2026-07-02 12:10:00,Quilicura,9.4,12.0,11.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4500.0
ENV-2026-00175,2026-07-21 15:11:00,La Florida,7.3,48.0,27.7,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4500.0
ENV-2026-00176,2026-08-29 08:14:00,Las Condes,30.5,48.0,34.0,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,7700.0
ENV-2026-00177,2026-08-18 14:49:00,Pudahuel,9.6,48.0,45.4,Entregado a Tiempo,Sin Falla,Furgón 1.5T,4500.0
ENV-2026-00178,2026-08-03 09:18:00,Santiago,27.1,24.0,39.1,Fallido,Zona Inaccesible,Furgón 1.5T,7400.0
ENV-2026-00179,2026-07-21 02:37:00,Quilicura,27.7,12.0,8.4,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,7100.0
ENV-2026-00180,2026-08-28 11:57:00,Puente Alto,26.0,24.0,14.9,Entregado a Tiempo,Sin Falla,Furgón Eléctrico,6900.0
ENV-2026-00181,2026-08-05 00:17:00,Maipú,10.2,24.0,20.0,Entregado a Tiempo,Sin Falla,Motocicleta,4800.0
ENV-2026-00182,2026-08-27 22:11:00,La Florida,33.8,24.0,37.9,Fallido,Zona Inaccesible,Furgón 1.5T,8400.0
ENV-2026-00183,2026-08-19 12:00:00,Las Condes,25.9,48.0,60.5,Entregado con Atraso,Cliente Ausente,Camión 3.5T,7400.0
ENV-2026-00184,2026-07-11 14:00:00,Las Condes,33.4,24.0,22.9,Entregado a Tiempo,Sin Falla,Furgón 1.5T,8000.0
ENV-2026-00185,2026-07-08 12:58:00,San Bernardo,22.9,24.0,19.2,Entregado a Tiempo,Sin Falla,Furgón 1.5T,6400.0
ENV-2026-00186,2026-07-16 06:50:00,La Florida,5.8,48.0,54.4,Entregado con Atraso,Cliente Ausente,Motocicleta,4300.0
ENV-2026-00187,2026-08-28 22:38:00,San Bernardo,26.4,48.0,27.0,Entregado a Tiempo,Sin Falla,Camión 3.5T,7400.0
ENV-2026-00188,2026-07-04 00:46:00,Santiago,27.5,12.0,18.8,Fallido,Dirección Incorrecta,Furgón Eléctrico,7400.0
