ID_Orden,Fecha,Region,Canal_Venta,Categoria,Producto,Precio_Unitario_USD,Cantidad,Descuento,Venta_Total_USD
ORD-00038,2024-01-26,Valparaíso,Marketplace,Periféricos,Mouse Inalámbrico Pro,527.0,6,0.15,2687.7
ORD-00039,2024-09-16,Biobío,App Móvil,Monitores,Monitor Gaming 144Hz 27',1069.0,3,0.1,2886.3
ORD-00040,2024-01-26,Antofagasta,Sitio Web,Monitores,Monitor 4K 32' UltraWide,564.0,2,0.15,958.8
ORD-00041,2024-02-17,Biobío,App Móvil,Monitores,Monitor Gaming 144Hz 27',566.0,7,0.1,3565.8
ORD-00042,2024-06-16,Biobío,App Móvil,Componentes,Tarjeta de Video RTX 4070,462.0,5,0.1,2079.0
ORD-00043,2024-03-31,Antofagasta,Marketplace,Notebooks,Laptop Gamer i7 16GB,521.0,7,0.05,3464.65
ORD-00044,2024-04-06,RM Santiago,App Móvil,Monitores,Monitor Gaming 144Hz 27',863.0,2,0.05,1639.7
ORD-00045,2024-12-16,Antofagasta,App Móvil,Notebooks,MacBook Pro M3,771.0,7,0.1,4857.3
ORD-00046,2024-09-29,Antofagasta,Sitio Web,Monitores,Monitor 4K 32' UltraWide,322.0,5,0.15,1368.5
ORD-00047,2024-06-16,RM Santiago,Sitio Web,Componentes,Memoria RAM 32GB DDR5,546.0,3,0.15,1392.3
ORD-00048,2024-08-11,Biobío,Sitio Web,Periféricos,Teclado Mecánico RGB,101.0,6,0.15,515.1
ORD-00049,2024-03-14,Valparaíso,App Móvil,Componentes,Tarjeta de Video RTX 4070,1101.0,1,0.1,990.9
ORD-00050,2024-01-18,Valparaíso,App Móvil,Monitores,Monitor Gaming 144Hz 27',178.0,2,0.0,356.0
ORD-00051,2024-01-14,Antofagasta,Marketplace,Notebooks,Laptop Gamer i7 16GB,890.0,3,0.0,2670.0
ORD-00052,2024-12-04,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,969.0,2,0.0,1938.0
ORD-00053,2024-12-09,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',236.0,4,0.1,849.6
ORD-00054,2024-05-12,Valparaíso,Sitio Web,Componentes,Tarjeta de Video RTX 4070,217.0,2,0.0,434.0
ORD-00055,2024-06-14,Biobío,Marketplace,Componentes,Disco SSD NVMe 2TB,758.0,2,0.05,1440.2
ORD-00056,2024-07-18,Antofagasta,Sitio Web,Componentes,Tarjeta de Video RTX 4070,451.0,6,0.1,2435.4
ORD-00057,2024-09-16,Valparaíso,Sitio Web,Componentes,Disco SSD NVMe 2TB,1092.0,4,0.1,3931.2
ORD-00058,2024-04-02,Valparaíso,Sitio Web,Componentes,Memoria RAM 32GB DDR5,1124.0,6,0.0,6744.0
ORD-00059,2024-04-01,Antofagasta,App Móvil,Notebooks,Ultrabook Ryzen 7,930.0,6,0.05,5301.0
ORD-00060,2024-07-08,Valparaíso,App Móvil,Componentes,Memoria RAM 32GB DDR5,552.0,3,0.0,1656.0
ORD-00061,2024-12-15,RM Santiago,App Móvil,Notebooks,Laptop Gamer i7 16GB,177.0,2,0.15,300.9
ORD-00062,2024-03-29,Valparaíso,Marketplace,Notebooks,Laptop Gamer i7 16GB,603.0,6,0.1,3256.2
ORD-00063,2024-10-04,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',551.0,4,0.0,2204.0
ORD-00064,2024-08-09,Biobío,Sitio Web,Monitores,Monitor Gaming 144Hz 27',497.0,1,0.05,472.15
ORD-00065,2024-06-02,Antofagasta,Marketplace,Monitores,Monitor 4K 32' UltraWide,937.0,5,0.05,4450.75
ORD-00066,2024-08-03,Biobío,App Móvil,Componentes,Disco SSD NVMe 2TB,737.0,6,0.1,3979.8
ORD-00067,2024-02-19,Valparaíso,Marketplace,Periféricos,Teclado Mecánico RGB,852.0,5,0.0,4260.0
ORD-00068,2024-07-24,Biobío,Marketplace,Componentes,Disco SSD NVMe 2TB,680.0,4,0.15,2312.0
ORD-00069,2024-04-15,Antofagasta,Sitio Web,Componentes,Tarjeta de Video RTX 4070,1119.0,6,0.15,5706.9
ORD-00070,2024-12-26,Biobío,Sitio Web,Notebooks,MacBook Pro M3,342.0,3,0.15,872.1
ORD-00071,2024-11-11,RM Santiago,Sitio Web,Componentes,Disco SSD NVMe 2TB,120.0,4,0.0,480.0
ORD-00072,2024-06-08,Valparaíso,Sitio Web,Monitores,Monitor Gaming 144Hz 27',82.0,2,0.1,147.6
ORD-00073,2024-01-31,RM Santiago,Marketplace,Periféricos,Mouse Inalámbrico Pro,426.0,3,0.1,1150.2
ORD-00074,2024-12-30,Valparaíso,Sitio Web,Notebooks,MacBook Pro M3,575.0,5,0.0,2875.0
ORD-00075,2024-11-28,RM Santiago,Sitio Web,Periféricos,Teclado Mecánico RGB,411.0,6,0.0,2466.0
ORD-00076,2024-10-09,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,603.0,2,0.05,1145.7
ORD-00077,2024-02-24,Antofagasta,Marketplace,Monitores,Monitor Gaming 144Hz 27',295.0,5,0.1,1327.5
ORD-00078,2024-10-20,Biobío,Sitio Web,Componentes,Memoria RAM 32GB DDR5,600.0,2,0.1,1080.0
ORD-00079,2024-09-22,Antofagasta,Sitio Web,Periféricos,Audífonos Noise Cancelling,475.0,2,0.0,950.0
ORD-00080,2024-12-09,Valparaíso,Marketplace,Componentes,Tarjeta de Video RTX 4070,1144.0,1,0.1,1029.6
ORD-00081,2024-12-05,RM Santiago,Marketplace,Notebooks,Laptop Gamer i7 16GB,1166.0,6,0.0,6996.0
ORD-00082,2024-07-17,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,336.0,3,0.0,1008.0
ORD-00083,2024-10-22,Biobío,Marketplace,Periféricos,Mouse Inalámbrico Pro,417.0,6,0.15,2126.7
ORD-00084,2024-05-13,RM Santiago,Sitio Web,Periféricos,Mouse Inalámbrico Pro,851.0,5,0.1,3829.5
ORD-00085,2024-04-21,Antofagasta,Sitio Web,Monitores,Monitor Gaming 144Hz 27',467.0,6,0.0,2802.0
ORD-00086,2024-08-21,RM Santiago,Marketplace,Periféricos,Audífonos Noise Cancelling,960.0,7,0.15,5712.0
ORD-00087,2024-12-15,Biobío,Sitio Web,Monitores,Monitor Gaming 144Hz 27',1048.0,4,0.0,4192.0
ORD-00088,2024-04-12,Biobío,App Móvil,Notebooks,Ultrabook Ryzen 7,687.0,4,0.05,2610.6
ORD-00089,2024-02-18,RM Santiago,App Móvil,Periféricos,Teclado Mecánico RGB,431.0,3,0.05,1228.35
ORD-00090,2024-03-01,Antofagasta,Marketplace,Monitores,Monitor Gaming 144Hz 27',231.0,7,0.0,1617.0
ORD-00091,2024-01-19,Biobío,Marketplace,Monitores,Monitor 4K 32' UltraWide,29.0,7,0.0,203.0
ORD-00092,2024-09-19,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,254.0,5,0.0,1270.0
ORD-00093,2024-03-05,RM Santiago,App Móvil,Periféricos,Mouse Inalámbrico Pro,908.0,3,0.15,2315.4
ORD-00094,2024-03-20,Biobío,Marketplace,Componentes,Disco SSD NVMe 2TB,347.0,7,0.0,2429.0
ORD-00095,2024-02-09,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,1102.0,5,0.1,4959.0
ORD-00096,2024-04-01,Antofagasta,Sitio Web,Periféricos,Mouse Inalámbrico Pro,587.0,4,0.1,2113.2
ORD-00097,2024-01-05,RM Santiago,Sitio Web,Componentes,Memoria RAM 32GB DDR5,368.0,6,0.1,1987.2
ORD-00098,2024-12-29,RM Santiago,Marketplace,Periféricos,Audífonos Noise Cancelling,108.0,4,0.0,432.0
ORD-00099,2024-03-14,Valparaíso,Sitio Web,Notebooks,Laptop Gamer i7 16GB,1178.0,4,0.1,4240.8
ORD-00100,2024-10-04,RM Santiago,Sitio Web,Periféricos,Mouse Inalámbrico Pro,170.0,1,0.05,161.5
ORD-00101,2024-05-13,RM Santiago,Sitio Web,Periféricos,Mouse Inalámbrico Pro,319.0,6,0.0,1914.0
ORD-00102,2024-08-15,Biobío,Sitio Web,Notebooks,Ultrabook Ryzen 7,1070.0,5,0.1,4815.0
ORD-00103,2024-04-13,RM Santiago,App Móvil,Notebooks,MacBook Pro M3,913.0,3,0.05,2602.05
ORD-00104,2024-04-11,Antofagasta,Sitio Web,Componentes,Memoria RAM 32GB DDR5,827.0,7,0.05,5499.55
ORD-00105,2024-06-09,Biobío,Marketplace,Monitores,Monitor 4K 32' UltraWide,548.0,4,0.05,2082.4
ORD-00106,2024-03-27,Valparaíso,Marketplace,Notebooks,MacBook Pro M3,245.0,4,0.05,931.0
ORD-00107,2024-01-30,Valparaíso,App Móvil,Monitores,Monitor 4K 32' UltraWide,797.0,6,0.05,4542.9
ORD-00108,2024-11-24,Biobío,Marketplace,Periféricos,Teclado Mecánico RGB,198.0,7,0.1,1247.4
ORD-00109,2024-10-21,RM Santiago,App Móvil,Monitores,Monitor Gaming 144Hz 27',270.0,5,0.05,1282.5
ORD-00110,2024-10-04,Valparaíso,Marketplace,Monitores,Monitor 4K 32' UltraWide,908.0,1,0.1,817.2
ORD-00111,2024-03-11,Biobío,Sitio Web,Monitores,Monitor Gaming 144Hz 27',1173.0,7,0.05,7800.45
ORD-00112,2024-12-07,Biobío,App Móvil,Componentes,Tarjeta de Video RTX 4070,816.0,3,0.1,2203.2
ORD-00113,2024-07-03,Biobío,Sitio Web,Periféricos,Audífonos Noise Cancelling,1113.0,2,0.05,2114.7
ORD-00114,2024-05-04,Biobío,App Móvil,Componentes,Memoria RAM 32GB DDR5,158.0,5,0.15,671.5
ORD-00115,2024-07-17,RM Santiago,Sitio Web,Componentes,Memoria RAM 32GB DDR5,1014.0,6,0.1,5475.6
ORD-00116,2024-10-26,RM Santiago,App Móvil,Periféricos,Audífonos Noise Cancelling,548.0,1,0.0,548.0
ORD-00117,2024-05-11,Antofagasta,Marketplace,Componentes,Disco SSD NVMe 2TB,230.0,7,0.0,1610.0
ORD-00118,2024-07-10,RM Santiago,Marketplace,Monitores,Monitor 4K 32' UltraWide,673.0,2,0.05,1278.7
ORD-00119,2024-11-14,Antofagasta,App Móvil,Componentes,Tarjeta de Video RTX 4070,698.0,6,0.15,3559.8
ORD-00120,2024-11-20,RM Santiago,App Móvil,Periféricos,Audífonos Noise Cancelling,68.0,7,0.1,428.4
ORD-00121,2024-01-24,RM Santiago,App Móvil,Componentes,Memoria RAM 32GB DDR5,660.0,4,0.15,2244.0
ORD-00122,2024-08-28,RM Santiago,Sitio Web,Notebooks,MacBook Pro M3,257.0,2,0.0,514.0
ORD-00123,2024-07-09,Biobío,App Móvil,Monitores,Monitor Gaming 144Hz 27',33.0,7,0.05,219.45
ORD-00124,2024-07-23,Biobío,App Móvil,Componentes,Disco SSD NVMe 2TB,985.0,5,0.1,4432.5
ORD-00125,2024-06-29,RM Santiago,Sitio Web,Componentes,Memoria RAM 32GB DDR5,198.0,1,0.1,178.2
ORD-00126,2024-08-13,Biobío,Marketplace,Periféricos,Audífonos Noise Cancelling,131.0,3,0.1,353.7
ORD-00127,2024-05-11,Biobío,Sitio Web,Periféricos,Teclado Mecánico RGB,1142.0,7,0.1,7194.6
ORD-00128,2024-06-15,Valparaíso,Sitio Web,Notebooks,Ultrabook Ryzen 7,195.0,2,0.15,331.5
ORD-00129,2024-08-19,Biobío,Marketplace,Periféricos,Audífonos Noise Cancelling,548.0,1,0.05,520.6
ORD-00130,2024-05-18,Biobío,App Móvil,Notebooks,Laptop Gamer i7 16GB,215.0,7,0.1,1354.5
ORD-00131,2024-04-17,Valparaíso,Marketplace,Notebooks,MacBook Pro M3,973.0,1,0.1,875.7
ORD-00132,2024-02-18,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,1002.0,6,0.1,5410.8
ORD-00133,2024-04-27,RM Santiago,Sitio Web,Notebooks,MacBook Pro M3,456.0,1,0.15,387.6
ORD-00134,2024-09-23,RM Santiago,Marketplace,Periféricos,Audífonos Noise Cancelling,687.0,7,0.1,4328.1
ORD-00135,2024-01-16,Antofagasta,Marketplace,Notebooks,Ultrabook Ryzen 7,1065.0,3,0.1,2875.5
ORD-00136,2024-12-28,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',46.0,3,0.1,124.2
ORD-00137,2024-09-03,Antofagasta,Marketplace,Componentes,Disco SSD NVMe 2TB,635.0,2,0.1,1143.0
ORD-00138,2024-03-09,Antofagasta,Sitio Web,Componentes,Disco SSD NVMe 2TB,101.0,1,0.05,95.95
ORD-00139,2024-03-20,Antofagasta,Marketplace,Monitores,Monitor Gaming 144Hz 27',299.0,1,0.1,269.1
ORD-00140,2024-09-27,Valparaíso,Marketplace,Periféricos,Audífonos Noise Cancelling,113.0,7,0.15,672.35
ORD-00141,2024-05-23,Valparaíso,App Móvil,Periféricos,Teclado Mecánico RGB,598.0,7,0.1,3767.4
ORD-00142,2024-04-03,Valparaíso,Sitio Web,Notebooks,Ultrabook Ryzen 7,496.0,5,0.15,2108.0
ORD-00143,2024-12-09,RM Santiago,Marketplace,Periféricos,Audífonos Noise Cancelling,592.0,2,0.0,1184.0
ORD-00144,2024-05-02,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',1189.0,7,0.0,8323.0
ORD-00145,2024-04-18,RM Santiago,App Móvil,Monitores,Monitor 4K 32' UltraWide,981.0,5,0.05,4659.75
ORD-00146,2024-06-19,Valparaíso,Sitio Web,Periféricos,Mouse Inalámbrico Pro,315.0,5,0.05,1496.25
ORD-00147,2024-03-26,Antofagasta,Marketplace,Monitores,Monitor 4K 32' UltraWide,523.0,6,0.0,3138.0
ORD-00148,2024-07-23,Antofagasta,App Móvil,Monitores,Monitor Gaming 144Hz 27',967.0,3,0.05,2755.95
ORD-00149,2024-08-14,Valparaíso,Marketplace,Componentes,Memoria RAM 32GB DDR5,1178.0,6,0.1,6361.2
ORD-00150,2024-04-22,Valparaíso,Sitio Web,Notebooks,Ultrabook Ryzen 7,471.0,5,0.15,2001.75
ORD-00151,2024-09-12,Biobío,Marketplace,Notebooks,MacBook Pro M3,421.0,7,0.0,2947.0
ORD-00152,2024-09-06,Valparaíso,Marketplace,Monitores,Monitor Gaming 144Hz 27',1097.0,1,0.15,932.45
ORD-00153,2024-10-25,Valparaíso,App Móvil,Periféricos,Audífonos Noise Cancelling,142.0,6,0.05,809.4
ORD-00154,2024-10-01,RM Santiago,Marketplace,Notebooks,Ultrabook Ryzen 7,713.0,5,0.1,3208.5
ORD-00155,2024-04-28,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,643.0,7,0.05,4275.95
ORD-00156,2024-12-12,Biobío,App Móvil,Monitores,Monitor 4K 32' UltraWide,496.0,5,0.15,2108.0
ORD-00157,2024-07-16,Valparaíso,App Móvil,Notebooks,MacBook Pro M3,170.0,5,0.05,807.5
ORD-00158,2024-08-27,RM Santiago,App Móvil,Notebooks,Ultrabook Ryzen 7,353.0,6,0.15,1800.3
ORD-00159,2024-04-04,Valparaíso,Marketplace,Componentes,Tarjeta de Video RTX 4070,738.0,6,0.0,4428.0
ORD-00160,2024-02-23,RM Santiago,Sitio Web,Monitores,Monitor 4K 32' UltraWide,244.0,7,0.1,1537.2
ORD-00161,2024-01-29,Biobío,Marketplace,Periféricos,Mouse Inalámbrico Pro,1161.0,7,0.0,8127.0
ORD-00162,2024-04-15,RM Santiago,App Móvil,Componentes,Tarjeta de Video RTX 4070,803.0,7,0.05,5339.95
ORD-00163,2024-07-30,Antofagasta,Sitio Web,Periféricos,Audífonos Noise Cancelling,986.0,7,0.15,5866.7
ORD-00164,2024-08-07,Antofagasta,Sitio Web,Monitores,Monitor 4K 32' UltraWide,991.0,6,0.1,5351.4
ORD-00165,2024-01-13,Valparaíso,App Móvil,Notebooks,MacBook Pro M3,1143.0,4,0.0,4572.0
ORD-00166,2024-07-29,Valparaíso,Sitio Web,Periféricos,Mouse Inalámbrico Pro,1086.0,7,0.15,6461.7
ORD-00167,2024-12-16,Valparaíso,Sitio Web,Componentes,Tarjeta de Video RTX 4070,780.0,1,0.0,780.0
ORD-00168,2024-10-19,Antofagasta,Sitio Web,Monitores,Monitor 4K 32' UltraWide,291.0,1,0.15,247.35
ORD-00169,2024-08-05,RM Santiago,App Móvil,Componentes,Memoria RAM 32GB DDR5,153.0,1,0.1,137.7
ORD-00170,2024-10-13,Biobío,App Móvil,Monitores,Monitor 4K 32' UltraWide,587.0,3,0.1,1584.9
ORD-00171,2024-12-20,Valparaíso,Sitio Web,Periféricos,Mouse Inalámbrico Pro,1112.0,3,0.05,3169.2
ORD-00172,2024-10-16,RM Santiago,Marketplace,Componentes,Disco SSD NVMe 2TB,712.0,1,0.05,676.4
ORD-00173,2024-05-04,Valparaíso,Marketplace,Periféricos,Mouse Inalámbrico Pro,841.0,7,0.0,5887.0
ORD-00174,2024-10-04,Antofagasta,App Móvil,Periféricos,Teclado Mecánico RGB,425.0,4,0.05,1615.0
ORD-00175,2024-08-02,Valparaíso,Sitio Web,Periféricos,Mouse Inalámbrico Pro,939.0,1,0.15,798.15
ORD-00176,2024-05-07,RM Santiago,Sitio Web,Monitores,Monitor Gaming 144Hz 27',703.0,6,0.05,4007.1
ORD-00177,2024-03-10,Antofagasta,App Móvil,Notebooks,Laptop Gamer i7 16GB,1064.0,1,0.0,1064.0
ORD-00178,2024-12-09,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,164.0,3,0.05,467.4
ORD-00179,2024-02-07,Antofagasta,Sitio Web,Notebooks,Laptop Gamer i7 16GB,194.0,1,0.05,184.3
ORD-00180,2024-12-17,Valparaíso,Marketplace,Componentes,Disco SSD NVMe 2TB,56.0,7,0.0,392.0
ORD-00181,2024-02-17,Biobío,Sitio Web,Periféricos,Mouse Inalámbrico Pro,1155.0,5,0.05,5486.25
ORD-00182,2024-02-24,RM Santiago,Marketplace,Monitores,Monitor Gaming 144Hz 27',252.0,2,0.15,428.4
ORD-00183,2024-06-01,RM Santiago,Sitio Web,Componentes,Disco SSD NVMe 2TB,741.0,7,0.15,4408.95
ORD-00184,2024-05-02,Biobío,Marketplace,Periféricos,Audífonos Noise Cancelling,1154.0,7,0.1,7270.2
ORD-00185,2024-11-09,Antofagasta,App Móvil,Monitores,Monitor Gaming 144Hz 27',1102.0,6,0.0,6612.0
ORD-00186,2024-08-17,Valparaíso,App Móvil,Componentes,Disco SSD NVMe 2TB,716.0,6,0.15,3651.6
ORD-00187,2024-03-13,Valparaíso,Sitio Web,Periféricos,Mouse Inalámbrico Pro,1190.0,1,0.1,1071.0
ORD-00188,2024-11-02,Antofagasta,Sitio Web,Periféricos,Teclado Mecánico RGB,691.0,2,0.15,1174.7
ORD-00189,2024-07-27,Antofagasta,Marketplace,Componentes,Disco SSD NVMe 2TB,743.0,1,0.1,668.7
ORD-00190,2024-04-07,RM Santiago,App Móvil,Monitores,Monitor 4K 32' UltraWide,728.0,4,0.05,2766.4
ORD-00191,2024-05-21,Biobío,App Móvil,Periféricos,Audífonos Noise Cancelling,1010.0,4,0.05,3838.0
ORD-00192,2024-03-17,RM Santiago,Marketplace,Monitores,Monitor Gaming 144Hz 27',737.0,4,0.05,2800.6
ORD-00193,2024-12-28,Antofagasta,Sitio Web,Notebooks,Ultrabook Ryzen 7,153.0,3,0.0,459.0
ORD-00194,2024-01-28,Antofagasta,Marketplace,Componentes,Tarjeta de Video RTX 4070,975.0,4,0.0,3900.0
ORD-00195,2024-06-05,Antofagasta,Marketplace,Periféricos,Audífonos Noise Cancelling,323.0,4,0.0,1292.0
ORD-00196,2024-10-03,RM Santiago,Sitio Web,Periféricos,Teclado Mecánico RGB,407.0,7,0.15,2421.65
ORD-00197,2024-09-09,Antofagasta,Marketplace,Notebooks,MacBook Pro M3,633.0,5,0.05,3006.75
ORD-00198,2024-04-03,Biobío,Marketplace,Componentes,Disco SSD NVMe 2TB,1176.0,3,0.0,3528.0
ORD-00199,2024-01-18,Valparaíso,App Móvil,Monitores,Monitor 4K 32' UltraWide,635.0,1,0.0,635.0
ORD-00200,2024-12-02,Biobío,App Móvil,Notebooks,Laptop Gamer i7 16GB,937.0,4,0.0,3748.0
ORD-00201,2024-01-17,Biobío,Sitio Web,Monitores,Monitor 4K 32' UltraWide,993.0,5,0.0,4965.0
ORD-00202,2024-06-23,Biobío,App Móvil,Periféricos,Audífonos Noise Cancelling,83.0,1,0.15,70.55
ORD-00203,2024-10-02,Valparaíso,Marketplace,Notebooks,Ultrabook Ryzen 7,1164.0,3,0.0,3492.0
ORD-00204,2024-01-02,RM Santiago,App Móvil,Periféricos,Audífonos Noise Cancelling,185.0,1,0.15,157.25
ORD-00205,2024-01-13,Valparaíso,Marketplace,Componentes,Memoria RAM 32GB DDR5,323.0,4,0.1,1162.8
ORD-00206,2024-03-09,RM Santiago,Sitio Web,Notebooks,Ultrabook Ryzen 7,880.0,4,0.05,3344.0
ORD-00207,2024-03-28,RM Santiago,App Móvil,Periféricos,Audífonos Noise Cancelling,100.0,6,0.05,570.0
ORD-00208,2024-11-07,Antofagasta,App Móvil,Monitores,Monitor 4K 32' UltraWide,112.0,2,0.1,201.6
ORD-00209,2024-09-08,RM Santiago,App Móvil,Monitores,Monitor 4K 32' UltraWide,1173.0,6,0.1,6334.2
ORD-00210,2024-12-13,Biobío,Marketplace,Periféricos,Mouse Inalámbrico Pro,841.0,6,0.0,5046.0
ORD-00211,2024-11-25,Valparaíso,Sitio Web,Componentes,Memoria RAM 32GB DDR5,109.0,1,0.1,98.1
ORD-00212,2024-10-11,Biobío,App Móvil,Componentes,Disco SSD NVMe 2TB,408.0,2,0.1,734.4
ORD-00213,2024-05-28,RM Santiago,App Móvil,Periféricos,Teclado Mecánico RGB,584.0,5,0.1,2628.0
ORD-00214,2024-04-25,Antofagasta,Sitio Web,Periféricos,Teclado Mecánico RGB,590.0,3,0.05,1681.5
ORD-00215,2024-01-25,Valparaíso,Sitio Web,Monitores,Monitor Gaming 144Hz 27',718.0,3,0.05,2046.3
ORD-00216,2024-10-21,Biobío,Sitio Web,Componentes,Memoria RAM 32GB DDR5,93.0,6,0.15,474.3
ORD-00217,2024-07-01,Biobío,App Móvil,Periféricos,Teclado Mecánico RGB,460.0,3,0.15,1173.0
ORD-00218,2024-11-28,Biobío,App Móvil,Periféricos,Teclado Mecánico RGB,1184.0,6,0.0,7104.0
ORD-00219,2024-01-07,RM Santiago,Sitio Web,Componentes,Tarjeta de Video RTX 4070,390.0,4,0.15,1326.0
ORD-00220,2024-02-07,RM Santiago,Sitio Web,Monitores,Monitor 4K 32' UltraWide,1039.0,1,0.0,1039.0
ORD-00221,2024-01-19,Valparaíso,Sitio Web,Notebooks,MacBook Pro M3,862.0,4,0.15,2930.8
ORD-00222,2024-01-09,Antofagasta,Sitio Web,Periféricos,Mouse Inalámbrico Pro,732.0,7,0.1,4611.6
ORD-00223,2024-11-03,RM Santiago,Marketplace,Componentes,Memoria RAM 32GB DDR5,411.0,1,0.05,390.45
