ID_Ticket,Fecha_Apertura,Fecha_Cierre,Pais,Plataforma,Canal_Atencion,Categoria_Problema,Prioridad,Tiempo_Resolucion_Horas,CSAT_Satisfaccion
TCK-2024-00038,2026-08-28 06:54:07,2026-09-01 07:09:27,Argentina,Smart TV,Email Soporte,Falla en Reproducción / Error System,Baja,96.26,2
TCK-2024-00039,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Media,106.59,1
TCK-2024-00040,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,iOS,Formulario App,Falla en Reproducción / Error System,Baja,10.91,3
TCK-2024-00041,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Android,ChatBot Web,Interfaz No Responsiva / UX,Alta,47.71,1
TCK-2024-00042,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Smart TV,Redes Sociales,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00043,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Web Browser,Email Soporte,Error de Autenticación / Login,Baja,2.27,4
TCK-2024-00044,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,Smart TV,Email Soporte,Error de Autenticación / Login,Alta,10.77,3
TCK-2024-00045,2026-08-28 06:54:07,2026-09-01 07:09:27,Chile,Android,ChatBot Web,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00046,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Smart TV,ChatBot Web,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00047,2026-08-27 10:52:04,2026-08-27 21:46:43,Colombia,Smart TV,Email Soporte,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00048,2026-08-27 00:19:15,2026-08-29 00:02:05,Perú,iOS,Formulario App,Interfaz No Responsiva / UX,Alta,47.71,2
TCK-2024-00049,2026-08-22 20:22:44,2026-08-23 01:50:47,México,iOS,Formulario App,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00050,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Web Browser,Formulario App,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00051,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,Smart TV,Redes Sociales,Error de Autenticación / Login,Baja,10.77,2
TCK-2024-00052,2026-08-28 06:54:07,2026-09-01 07:09:27,México,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00053,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Web Browser,Redes Sociales,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00054,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,Android,Redes Sociales,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00055,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Android,Redes Sociales,Interfaz No Responsiva / UX,Baja,47.71,3
TCK-2024-00056,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,iOS,Redes Sociales,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00057,2026-09-01 18:05:02,2026-09-01 20:21:02,México,Android,ChatBot Web,Error de Autenticación / Login,Baja,2.27,5
TCK-2024-00058,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,Smart TV,Redes Sociales,Error de Autenticación / Login,Media,10.77,2
TCK-2024-00059,2026-08-28 06:54:07,2026-09-01 07:09:27,Argentina,Smart TV,Redes Sociales,Falla en Reproducción / Error System,Baja,96.26,2
TCK-2024-00060,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,iOS,Redes Sociales,Falla en Reproducción / Error System,Alta,106.59,3
TCK-2024-00061,2026-08-27 10:52:04,2026-08-27 21:46:43,Colombia,Smart TV,ChatBot Web,Falla en Reproducción / Error System,Media,10.91,3
TCK-2024-00062,2026-08-27 00:19:15,2026-08-29 00:02:05,Colombia,Smart TV,ChatBot Web,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00063,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,Android,Formulario App,Error de Autenticación / Login,Media,5.47,2
TCK-2024-00064,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Web Browser,Redes Sociales,Error de Autenticación / Login,Baja,2.27,5
TCK-2024-00065,2026-08-29 06:16:18,2026-08-29 17:02:41,México,Web Browser,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00066,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,iOS,Email Soporte,Falla en Reproducción / Error System,Media,96.26,1
TCK-2024-00067,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Web Browser,Formulario App,Falla en Reproducción / Error System,Alta,106.59,3
TCK-2024-00068,2026-08-27 10:52:04,2026-08-27 21:46:43,México,iOS,Formulario App,Falla en Reproducción / Error System,Media,10.91,3
TCK-2024-00069,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Web Browser,Email Soporte,Interfaz No Responsiva / UX,Crítica,47.71,2
TCK-2024-00070,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Web Browser,Formulario App,Error de Autenticación / Login,Crítica,5.47,4
TCK-2024-00071,2026-09-01 18:05:02,2026-09-01 20:21:02,Argentina,Android,Email Soporte,Error de Autenticación / Login,Alta,2.27,4
TCK-2024-00072,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,Smart TV,Redes Sociales,Error de Autenticación / Login,Media,10.77,4
TCK-2024-00073,2026-08-28 06:54:07,2026-09-01 07:09:27,Argentina,Smart TV,Formulario App,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00074,2026-08-27 11:09:57,2026-08-31 21:45:31,Argentina,Web Browser,Email Soporte,Falla en Reproducción / Error System,Baja,106.59,2
TCK-2024-00075,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,Web Browser,Formulario App,Falla en Reproducción / Error System,Media,10.91,4
TCK-2024-00076,2026-08-27 00:19:15,2026-08-29 00:02:05,Perú,Android,Formulario App,Interfaz No Responsiva / UX,Baja,47.71,2
TCK-2024-00077,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Android,ChatBot Web,Error de Autenticación / Login,Alta,5.47,3
TCK-2024-00078,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Smart TV,Formulario App,Error de Autenticación / Login,Media,2.27,4
TCK-2024-00079,2026-08-29 06:16:18,2026-08-29 17:02:41,Perú,Android,Formulario App,Error de Autenticación / Login,Alta,10.77,3
TCK-2024-00080,2026-08-28 06:54:07,2026-09-01 07:09:27,Perú,iOS,Formulario App,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00081,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Smart TV,Formulario App,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00082,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Android,Formulario App,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00083,2026-08-27 00:19:15,2026-08-29 00:02:05,Perú,Web Browser,Email Soporte,Interfaz No Responsiva / UX,Crítica,47.71,1
TCK-2024-00084,2026-08-22 20:22:44,2026-08-23 01:50:47,México,iOS,Redes Sociales,Error de Autenticación / Login,Crítica,5.47,4
TCK-2024-00085,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Smart TV,Formulario App,Error de Autenticación / Login,Media,2.27,4
TCK-2024-00086,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,iOS,Email Soporte,Error de Autenticación / Login,Media,10.77,4
TCK-2024-00087,2026-08-28 06:54:07,2026-09-01 07:09:27,Chile,Web Browser,Formulario App,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00088,2026-08-27 11:09:57,2026-08-31 21:45:31,Perú,iOS,Redes Sociales,Falla en Reproducción / Error System,Baja,106.59,2
TCK-2024-00089,2026-08-27 10:52:04,2026-08-27 21:46:43,México,iOS,ChatBot Web,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00090,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Web Browser,Formulario App,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00091,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,Web Browser,Formulario App,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00092,2026-09-01 18:05:02,2026-09-01 20:21:02,México,iOS,Redes Sociales,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00093,2026-08-29 06:16:18,2026-08-29 17:02:41,Perú,Web Browser,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00094,2026-08-28 06:54:07,2026-09-01 07:09:27,Chile,Android,ChatBot Web,Falla en Reproducción / Error System,Media,96.26,1
TCK-2024-00095,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,Web Browser,Email Soporte,Falla en Reproducción / Error System,Baja,106.59,2
TCK-2024-00096,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Smart TV,ChatBot Web,Falla en Reproducción / Error System,Media,10.91,4
TCK-2024-00097,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Android,Email Soporte,Interfaz No Responsiva / UX,Alta,47.71,2
TCK-2024-00098,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,iOS,ChatBot Web,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00099,2026-09-01 18:05:02,2026-09-01 20:21:02,México,iOS,Formulario App,Error de Autenticación / Login,Media,2.27,4
TCK-2024-00100,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,iOS,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00101,2026-08-28 06:54:07,2026-09-01 07:09:27,México,iOS,Redes Sociales,Falla en Reproducción / Error System,Crítica,96.26,1
TCK-2024-00102,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Android,Redes Sociales,Falla en Reproducción / Error System,Media,106.59,3
TCK-2024-00103,2026-08-27 10:52:04,2026-08-27 21:46:43,México,iOS,Email Soporte,Falla en Reproducción / Error System,Alta,10.91,3
TCK-2024-00104,2026-08-27 00:19:15,2026-08-29 00:02:05,Argentina,Smart TV,ChatBot Web,Interfaz No Responsiva / UX,Alta,47.71,2
TCK-2024-00105,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Smart TV,Formulario App,Error de Autenticación / Login,Alta,5.47,3
TCK-2024-00106,2026-09-01 18:05:02,2026-09-01 20:21:02,Colombia,Android,Redes Sociales,Error de Autenticación / Login,Alta,2.27,5
TCK-2024-00107,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,Smart TV,Formulario App,Error de Autenticación / Login,Baja,10.77,2
TCK-2024-00108,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,Android,ChatBot Web,Falla en Reproducción / Error System,Media,96.26,1
TCK-2024-00109,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,Web Browser,Formulario App,Falla en Reproducción / Error System,Alta,106.59,2
TCK-2024-00110,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,Smart TV,Email Soporte,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00111,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Web Browser,Formulario App,Interfaz No Responsiva / UX,Crítica,47.71,1
TCK-2024-00112,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,iOS,Redes Sociales,Error de Autenticación / Login,Media,5.47,4
TCK-2024-00113,2026-09-01 18:05:02,2026-09-01 20:21:02,Argentina,Android,Redes Sociales,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00114,2026-08-29 06:16:18,2026-08-29 17:02:41,Perú,Android,Email Soporte,Error de Autenticación / Login,Baja,10.77,4
TCK-2024-00115,2026-08-28 06:54:07,2026-09-01 07:09:27,México,Web Browser,Email Soporte,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00116,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Media,106.59,1
TCK-2024-00117,2026-08-27 10:52:04,2026-08-27 21:46:43,Argentina,Web Browser,Email Soporte,Falla en Reproducción / Error System,Media,10.91,4
TCK-2024-00118,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Android,Formulario App,Interfaz No Responsiva / UX,Media,47.71,1
TCK-2024-00119,2026-08-22 20:22:44,2026-08-23 01:50:47,México,iOS,Formulario App,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00120,2026-09-01 18:05:02,2026-09-01 20:21:02,Colombia,Smart TV,Email Soporte,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00121,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,Android,ChatBot Web,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00122,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,Android,Formulario App,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00123,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,Smart TV,Email Soporte,Falla en Reproducción / Error System,Media,106.59,2
TCK-2024-00124,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Web Browser,ChatBot Web,Falla en Reproducción / Error System,Alta,10.91,3
TCK-2024-00125,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Web Browser,Redes Sociales,Interfaz No Responsiva / UX,Alta,47.71,1
TCK-2024-00126,2026-08-22 20:22:44,2026-08-23 01:50:47,México,Smart TV,Email Soporte,Error de Autenticación / Login,Media,5.47,3
TCK-2024-00127,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Android,ChatBot Web,Error de Autenticación / Login,Media,2.27,5
TCK-2024-00128,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,iOS,ChatBot Web,Error de Autenticación / Login,Baja,10.77,4
TCK-2024-00129,2026-08-28 06:54:07,2026-09-01 07:09:27,Argentina,iOS,Formulario App,Falla en Reproducción / Error System,Baja,96.26,1
TCK-2024-00130,2026-08-27 11:09:57,2026-08-31 21:45:31,México,Smart TV,Email Soporte,Falla en Reproducción / Error System,Alta,106.59,3
TCK-2024-00131,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,iOS,ChatBot Web,Falla en Reproducción / Error System,Media,10.91,3
TCK-2024-00132,2026-08-27 00:19:15,2026-08-29 00:02:05,Argentina,Smart TV,Formulario App,Interfaz No Responsiva / UX,Alta,47.71,1
TCK-2024-00133,2026-08-22 20:22:44,2026-08-23 01:50:47,Perú,Smart TV,Email Soporte,Error de Autenticación / Login,Alta,5.47,3
TCK-2024-00134,2026-09-01 18:05:02,2026-09-01 20:21:02,Perú,Web Browser,Formulario App,Error de Autenticación / Login,Crítica,2.27,5
TCK-2024-00135,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,iOS,Redes Sociales,Error de Autenticación / Login,Alta,10.77,4
TCK-2024-00136,2026-08-28 06:54:07,2026-09-01 07:09:27,Argentina,Web Browser,Formulario App,Falla en Reproducción / Error System,Alta,96.26,1
TCK-2024-00137,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,Smart TV,Redes Sociales,Falla en Reproducción / Error System,Media,106.59,1
TCK-2024-00138,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,Smart TV,Formulario App,Falla en Reproducción / Error System,Baja,10.91,4
TCK-2024-00139,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Smart TV,Formulario App,Interfaz No Responsiva / UX,Alta,47.71,1
TCK-2024-00140,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Android,ChatBot Web,Error de Autenticación / Login,Baja,5.47,3
TCK-2024-00141,2026-09-01 18:05:02,2026-09-01 20:21:02,Colombia,Android,ChatBot Web,Error de Autenticación / Login,Baja,2.27,5
TCK-2024-00142,2026-08-29 06:16:18,2026-08-29 17:02:41,Chile,Web Browser,Formulario App,Error de Autenticación / Login,Alta,10.77,3
TCK-2024-00143,2026-08-28 06:54:07,2026-09-01 07:09:27,Chile,iOS,Email Soporte,Falla en Reproducción / Error System,Crítica,96.26,3
TCK-2024-00144,2026-08-27 11:09:57,2026-08-31 21:45:31,Chile,iOS,Email Soporte,Falla en Reproducción / Error System,Baja,106.59,1
TCK-2024-00145,2026-08-27 10:52:04,2026-08-27 21:46:43,Perú,iOS,Redes Sociales,Falla en Reproducción / Error System,Baja,10.91,3
TCK-2024-00146,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,iOS,Formulario App,Interfaz No Responsiva / UX,Media,47.71,1
TCK-2024-00147,2026-08-22 20:22:44,2026-08-23 01:50:47,Colombia,iOS,Formulario App,Error de Autenticación / Login,Media,5.47,3
TCK-2024-00148,2026-09-01 18:05:02,2026-09-01 20:21:02,Perú,Web Browser,Formulario App,Error de Autenticación / Login,Alta,2.27,5
TCK-2024-00149,2026-08-29 06:16:18,2026-08-29 17:02:41,Colombia,Web Browser,Formulario App,Error de Autenticación / Login,Baja,10.77,3
TCK-2024-00150,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,Android,Formulario App,Falla en Reproducción / Error System,Baja,96.26,3
TCK-2024-00151,2026-08-27 11:09:57,2026-08-31 21:45:31,Perú,Smart TV,Redes Sociales,Falla en Reproducción / Error System,Alta,106.59,2
TCK-2024-00152,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,Android,ChatBot Web,Falla en Reproducción / Error System,Baja,10.91,3
TCK-2024-00153,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Smart TV,Email Soporte,Interfaz No Responsiva / UX,Crítica,47.71,1
TCK-2024-00154,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Web Browser,Email Soporte,Error de Autenticación / Login,Alta,5.47,4
TCK-2024-00155,2026-09-01 18:05:02,2026-09-01 20:21:02,Perú,Android,ChatBot Web,Error de Autenticación / Login,Media,2.27,4
TCK-2024-00156,2026-08-29 06:16:18,2026-08-29 17:02:41,Perú,Android,Redes Sociales,Error de Autenticación / Login,Alta,10.77,3
TCK-2024-00157,2026-08-28 06:54:07,2026-09-01 07:09:27,Perú,Smart TV,Redes Sociales,Falla en Reproducción / Error System,Alta,96.26,1
TCK-2024-00158,2026-08-27 11:09:57,2026-08-31 21:45:31,Argentina,iOS,Redes Sociales,Falla en Reproducción / Error System,Alta,106.59,2
TCK-2024-00159,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Android,ChatBot Web,Falla en Reproducción / Error System,Alta,10.91,4
TCK-2024-00160,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Smart TV,Formulario App,Interfaz No Responsiva / UX,Baja,47.71,3
TCK-2024-00161,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,iOS,ChatBot Web,Error de Autenticación / Login,Alta,5.47,2
TCK-2024-00162,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Smart TV,Email Soporte,Error de Autenticación / Login,Crítica,2.27,5
TCK-2024-00163,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,iOS,Formulario App,Error de Autenticación / Login,Media,10.77,3
TCK-2024-00164,2026-08-28 06:54:07,2026-09-01 07:09:27,México,Smart TV,ChatBot Web,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00165,2026-08-27 11:09:57,2026-08-31 21:45:31,Perú,iOS,Email Soporte,Falla en Reproducción / Error System,Alta,106.59,1
TCK-2024-00166,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,Smart TV,Email Soporte,Falla en Reproducción / Error System,Alta,10.91,2
TCK-2024-00167,2026-08-27 00:19:15,2026-08-29 00:02:05,México,Android,Formulario App,Interfaz No Responsiva / UX,Baja,47.71,1
TCK-2024-00168,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Android,Formulario App,Error de Autenticación / Login,Crítica,5.47,3
TCK-2024-00169,2026-09-01 18:05:02,2026-09-01 20:21:02,México,Web Browser,ChatBot Web,Error de Autenticación / Login,Alta,2.27,5
TCK-2024-00170,2026-08-29 06:16:18,2026-08-29 17:02:41,Argentina,iOS,Formulario App,Error de Autenticación / Login,Media,10.77,2
TCK-2024-00171,2026-08-28 06:54:07,2026-09-01 07:09:27,Chile,iOS,ChatBot Web,Falla en Reproducción / Error System,Alta,96.26,3
TCK-2024-00172,2026-08-27 11:09:57,2026-08-31 21:45:31,Colombia,Smart TV,Redes Sociales,Falla en Reproducción / Error System,Baja,106.59,3
TCK-2024-00173,2026-08-27 10:52:04,2026-08-27 21:46:43,México,Smart TV,Email Soporte,Falla en Reproducción / Error System,Baja,10.91,2
TCK-2024-00174,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Web Browser,Formulario App,Interfaz No Responsiva / UX,Media,47.71,2
TCK-2024-00175,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,iOS,ChatBot Web,Error de Autenticación / Login,Media,5.47,4
TCK-2024-00176,2026-09-01 18:05:02,2026-09-01 20:21:02,México,Android,Email Soporte,Error de Autenticación / Login,Alta,2.27,5
TCK-2024-00177,2026-08-29 06:16:18,2026-08-29 17:02:41,México,Android,Formulario App,Error de Autenticación / Login,Baja,10.77,4
TCK-2024-00178,2026-08-28 06:54:07,2026-09-01 07:09:27,Colombia,Android,Redes Sociales,Falla en Reproducción / Error System,Media,96.26,2
TCK-2024-00179,2026-08-27 11:09:57,2026-08-31 21:45:31,México,iOS,Formulario App,Falla en Reproducción / Error System,Media,106.59,3
TCK-2024-00180,2026-08-27 10:52:04,2026-08-27 21:46:43,Chile,iOS,Email Soporte,Falla en Reproducción / Error System,Baja,10.91,2
TCK-2024-00181,2026-08-27 00:19:15,2026-08-29 00:02:05,Chile,Android,ChatBot Web,Interfaz No Responsiva / UX,Crítica,47.71,2
TCK-2024-00182,2026-08-22 20:22:44,2026-08-23 01:50:47,Chile,Web Browser,Redes Sociales,Error de Autenticación / Login,Crítica,5.47,3
TCK-2024-00183,2026-09-01 18:05:02,2026-09-01 20:21:02,Chile,Web Browser,ChatBot Web,Error de Autenticación / Login,Baja,2.27,5
TCK-2024-00184,2026-08-29 06:16:18,2026-08-29 17:02:41,Perú,iOS,Email Soporte,Error de Autenticación / Login,Baja,10.77,2
